Politician,Type,Policy,URL
Mark Dreyfus,VeryStronglyAgainst,Turning back asylum boats when possible,https://theyvoteforyou.org.au/policies/174
Mark Dreyfus,VeryStronglyAgainst,Unconventional gas mining,https://theyvoteforyou.org.au/policies/18
Marise Payne,VeryStronglyFor,A citizenship test,https://theyvoteforyou.org.au/policies/166
Marise Payne,VeryStronglyFor,A same sex marriage plebiscite,https://theyvoteforyou.org.au/policies/129
Marise Payne,VeryStronglyFor,An Australian Building and Construction Commission  ABCC,https://theyvoteforyou.org.au/policies/132
Marise Payne,VeryStronglyFor,An emissions reduction fund,https://theyvoteforyou.org.au/policies/37
Marise Payne,VeryStronglyFor,Changing the wording of section 18C of the Racial Discrimination Act,https://theyvoteforyou.org.au/policies/147
Marise Payne,VeryStronglyFor,Charging postgraduate research students fees,https://theyvoteforyou.org.au/policies/71
Marise Payne,VeryStronglyFor,Decreasing ABC and SBS funding,https://theyvoteforyou.org.au/policies/56
Marise Payne,VeryStronglyFor,Deregulating undergraduate university fees,https://theyvoteforyou.org.au/policies/58
Marise Payne,VeryStronglyFor,Drug testing welfare recipients,https://theyvoteforyou.org.au/policies/163
Marise Payne,VeryStronglyFor,Imprisoning immigration detention workers who record or reveal information from their work,https://theyvoteforyou.org.au/policies/119
Marise Payne,VeryStronglyFor,Increasing availability of abortion drugs,https://theyvoteforyou.org.au/policies/31
Marise Payne,VeryStronglyFor,Increasing beef import standards,https://theyvoteforyou.org.au/policies/40
Marise Payne,VeryStronglyFor,Increasing competition in bulk wheat export,https://theyvoteforyou.org.au/policies/9
Marise Payne,VeryStronglyFor,Increasing funding for road infrastructure,https://theyvoteforyou.org.au/policies/38
Marise Payne,VeryStronglyFor,Increasing indexation of HECS HELP debts,https://theyvoteforyou.org.au/policies/70
Marise Payne,VeryStronglyFor,Increasing scrutiny of unions,https://theyvoteforyou.org.au/policies/133
Marise Payne,VeryStronglyFor,Legalising euthanasia,https://theyvoteforyou.org.au/policies/190
Marise Payne,VeryStronglyFor,Maintaining or increasing defence spending,https://theyvoteforyou.org.au/policies/161
Marise Payne,VeryStronglyFor,Mandatory minimum sentences for certain offences,https://theyvoteforyou.org.au/policies/238
Marise Payne,VeryStronglyFor,Political interference in research funding,https://theyvoteforyou.org.au/policies/203
Marise Payne,VeryStronglyFor,Privatising government assets,https://theyvoteforyou.org.au/policies/21
Marise Payne,VeryStronglyFor,Privatising the ABC,https://theyvoteforyou.org.au/policies/186
Marise Payne,VeryStronglyFor,Reducing the corporate tax rate,https://theyvoteforyou.org.au/policies/149
Marise Payne,VeryStronglyFor,Temporary protection visas,https://theyvoteforyou.org.au/policies/11
Marise Payne,VeryStronglyFor,The Coalition s new schools funding policy   Gonski 2 0,https://theyvoteforyou.org.au/policies/151
Marise Payne,VeryStronglyFor,The Intervention in the Northern Territory,https://theyvoteforyou.org.au/policies/36
Marise Payne,VeryStronglyFor,Turning back asylum boats when possible,https://theyvoteforyou.org.au/policies/174
Marise Payne,VeryStronglyFor,Uranium export,https://theyvoteforyou.org.au/policies/43
Marise Payne,StronglyFor,Australia s timber industry,https://theyvoteforyou.org.au/policies/217
Marise Payne,StronglyFor,Increasing investment in the coal industry,https://theyvoteforyou.org.au/policies/141
Marise Payne,StronglyFor,Live animal export,https://theyvoteforyou.org.au/policies/32
Marise Payne,StronglyFor,Making more water from Murray Darling Basin available to use,https://theyvoteforyou.org.au/policies/185
Marise Payne,StronglyFor,Nuclear energy,https://theyvoteforyou.org.au/policies/196
Marise Payne,StronglyFor,Prioritising religious freedom,https://theyvoteforyou.org.au/policies/198
Marise Payne,StronglyFor,Privatising government services,https://theyvoteforyou.org.au/policies/168
Marise Payne,StronglyFor,Recognising local government in the Constitution,https://theyvoteforyou.org.au/policies/10
Marise Payne,StronglyFor,Stem cell research,https://theyvoteforyou.org.au/policies/22
Marise Payne,StronglyFor,Voluntary student union fees,https://theyvoteforyou.org.au/policies/12
Marise Payne,ModeratelyFor,A declared area offence,https://theyvoteforyou.org.au/policies/189
Marise Payne,ModeratelyFor,A publicly accessible foreign ownership register for agricultural land,https://theyvoteforyou.org.au/policies/110
Marise Payne,ModeratelyFor,Adani s proposed Carmichael coal mine in the Galilee Basin,https://theyvoteforyou.org.au/policies/162
Marise Payne,ModeratelyFor,Continuing Detention Orders  CDOs,https://theyvoteforyou.org.au/policies/139
Marise Payne,ModeratelyFor,Decreasing availability of welfare payments,https://theyvoteforyou.org.au/policies/34
Marise Payne,ModeratelyFor,Funding the national school chaplaincy program,https://theyvoteforyou.org.au/policies/61
Marise Payne,ModeratelyFor,Getting rid of Sunday and public holiday penalty rates,https://theyvoteforyou.org.au/policies/148
Marise Payne,ModeratelyFor,Giving approval for mining in the Liverpool Plains,https://theyvoteforyou.org.au/policies/154
Marise Payne,ModeratelyFor,Government administered paid parental leave,https://theyvoteforyou.org.au/policies/5
Marise Payne,ModeratelyFor,Increasing parliamentary entitlements for current MPs and Senators,https://theyvoteforyou.org.au/policies/98
Marise Payne,ModeratelyFor,Offshore oil mining,https://theyvoteforyou.org.au/policies/231
Marise Payne,ModeratelyFor,Offshore processing for people seeking asylum in Australia,https://theyvoteforyou.org.au/policies/51
Marise Payne,ModeratelyFor,Preventative Detention Orders  PDOs,https://theyvoteforyou.org.au/policies/135
Marise Payne,ModeratelyFor,Putting welfare payments onto restricted debit cards  known as cashless debit cards,https://theyvoteforyou.org.au/policies/109
Marise Payne,ModeratelyFor,Regional processing of asylum seekers,https://theyvoteforyou.org.au/policies/16
Marise Payne,ModeratelyFor,Senate electoral reform,https://theyvoteforyou.org.au/policies/89
Marise Payne,ModeratelyFor,Storing all citizens  telecommunications data for access by government agencies,https://theyvoteforyou.org.au/policies/54
Marise Payne,ModeratelyFor,The Trans Pacific Partnership  TPP  Agreement,https://theyvoteforyou.org.au/policies/77
Marise Payne,ModeratelyFor,Tighter means testing of family payments,https://theyvoteforyou.org.au/policies/57
Marise Payne,ModeratelyFor,Transgender rights,https://theyvoteforyou.org.au/policies/214
Marise Payne,ModeratelyFor,Unconventional gas mining,https://theyvoteforyou.org.au/policies/18
Marise Payne,Mixed,A Free Trade Agreement with China,https://theyvoteforyou.org.au/policies/142
Marise Payne,Mixed,Banning all investment in cluster munitions,https://theyvoteforyou.org.au/policies/143
Marise Payne,Mixed,Banning new thermal coal mines,https://theyvoteforyou.org.au/policies/222
Marise Payne,Mixed,Buffer zones around abortion clinics,https://theyvoteforyou.org.au/policies/107
Marise Payne,Mixed,Criminalising  revenge porn,https://theyvoteforyou.org.au/policies/158
Marise Payne,Mixed,Increasing freedom of political communication,https://theyvoteforyou.org.au/policies/53
Marise Payne,Mixed,Increasing funding for vocational education,https://theyvoteforyou.org.au/policies/232
Marise Payne,Mixed,Increasing or removing the Government debt limit,https://theyvoteforyou.org.au/policies/13
Marise Payne,Mixed,Increasing surveillance powers,https://theyvoteforyou.org.au/policies/44
Marise Payne,Mixed,Increasing transparency of the China Australia relationship,https://theyvoteforyou.org.au/policies/75
Marise Payne,Mixed,Landholders  right to say no to mining and gas exploration,https://theyvoteforyou.org.au/policies/62
Marise Payne,Mixed,More scrutiny of intelligence services   police,https://theyvoteforyou.org.au/policies/23
Marise Payne,Mixed,Promoting multiculturalism,https://theyvoteforyou.org.au/policies/194
Marise Payne,Mixed,Revoking citizenship of dual nationals involved with terrorism offences by the minister,https://theyvoteforyou.org.au/policies/84
Marise Payne,Mixed,Same sex marriage equality,https://theyvoteforyou.org.au/policies/1
Marise Payne,Mixed,Speeding things along in Parliament  procedural,https://theyvoteforyou.org.au/policies/112
Marise Payne,Mixed,Suspending the rules to allow a vote to happen  procedural,https://theyvoteforyou.org.au/policies/113
Marise Payne,Mixed,Targeting foreign interference in Australia,https://theyvoteforyou.org.au/policies/187
Marise Payne,ModeratelyAgainst,A fast transition from fossil fuels to renewable energy,https://theyvoteforyou.org.au/policies/91
Marise Payne,ModeratelyAgainst,A review of parliamentary entitlements,https://theyvoteforyou.org.au/policies/96
Marise Payne,ModeratelyAgainst,A Royal Commission into banking,https://theyvoteforyou.org.au/policies/95
Marise Payne,ModeratelyAgainst,An independent inquiry into Attorney General Christian Porter,https://theyvoteforyou.org.au/policies/256
Marise Payne,ModeratelyAgainst,Assisting Australians trying to return from overseas,https://theyvoteforyou.org.au/policies/249
Marise Payne,ModeratelyAgainst,Building community climate change resilience,https://theyvoteforyou.org.au/policies/228
Marise Payne,ModeratelyAgainst,Carbon farming,https://theyvoteforyou.org.au/policies/33
Marise Payne,ModeratelyAgainst,Changing the date of Australia Day,https://theyvoteforyou.org.au/policies/144
Marise Payne,ModeratelyAgainst,Civil celebrants having the right to refuse to marry same sex couples,https://theyvoteforyou.org.au/policies/175
Marise Payne,ModeratelyAgainst,Creating a federal Anti Corruption Commission,https://theyvoteforyou.org.au/policies/86
Marise Payne,ModeratelyAgainst,Doctor initiated medical transfers for asylum seekers,https://theyvoteforyou.org.au/policies/145
Marise Payne,ModeratelyAgainst,Encouraging Australian based industry,https://theyvoteforyou.org.au/policies/42
Marise Payne,ModeratelyAgainst,Ending immigration detention on Nauru,https://theyvoteforyou.org.au/policies/118
Marise Payne,ModeratelyAgainst,Extending Jobkeeper Payment,https://theyvoteforyou.org.au/policies/253
Marise Payne,ModeratelyAgainst,Government action on animal   plant extinctions,https://theyvoteforyou.org.au/policies/172
Marise Payne,ModeratelyAgainst,Implementing refugee and protection conventions,https://theyvoteforyou.org.au/policies/8
Marise Payne,ModeratelyAgainst,Increasing Aboriginal land rights,https://theyvoteforyou.org.au/policies/24
Marise Payne,ModeratelyAgainst,Increasing access to medicinal cannabis products,https://theyvoteforyou.org.au/policies/156
Marise Payne,ModeratelyAgainst,Increasing access to the JobKeeper Payment,https://theyvoteforyou.org.au/policies/235
Marise Payne,ModeratelyAgainst,Increasing accessibility of government data and documents,https://theyvoteforyou.org.au/policies/59
Marise Payne,ModeratelyAgainst,Increasing consumer protections,https://theyvoteforyou.org.au/policies/45
Marise Payne,ModeratelyAgainst,Increasing federal government support for childcare,https://theyvoteforyou.org.au/policies/171
Marise Payne,ModeratelyAgainst,Increasing funding for legal aid,https://theyvoteforyou.org.au/policies/105
Marise Payne,ModeratelyAgainst,Increasing funding for university education,https://theyvoteforyou.org.au/policies/25
Marise Payne,ModeratelyAgainst,Increasing marine conservation,https://theyvoteforyou.org.au/policies/17
Marise Payne,ModeratelyAgainst,Increasing restrictions on gambling,https://theyvoteforyou.org.au/policies/39
Marise Payne,ModeratelyAgainst,Increasing scrutiny of asylum seeker management,https://theyvoteforyou.org.au/policies/4
Marise Payne,ModeratelyAgainst,Increasing the foreign aid budget to 0 7  of Gross National Income,https://theyvoteforyou.org.au/policies/99
Marise Payne,ModeratelyAgainst,Increasing transparency of big business by making information public,https://theyvoteforyou.org.au/policies/81
Marise Payne,ModeratelyAgainst,Local community consultation on infrastructure projects,https://theyvoteforyou.org.au/policies/102
Marise Payne,ModeratelyAgainst,Protecting Australian sovereignty in trade agreements,https://theyvoteforyou.org.au/policies/204
Marise Payne,ModeratelyAgainst,Protecting the Great Barrier Reef,https://theyvoteforyou.org.au/policies/122
Marise Payne,ModeratelyAgainst,Protecting threatened forest and bushland habitats,https://theyvoteforyou.org.au/policies/94
Marise Payne,ModeratelyAgainst,Protecting whales within Australian waters,https://theyvoteforyou.org.au/policies/67
Marise Payne,ModeratelyAgainst,Protecting whistleblowers,https://theyvoteforyou.org.au/policies/90
Marise Payne,ModeratelyAgainst,Public transport,https://theyvoteforyou.org.au/policies/123
Marise Payne,ModeratelyAgainst,Putting a time limit on immigration detention,https://theyvoteforyou.org.au/policies/120
Marise Payne,ModeratelyAgainst,Reducing air pollution,https://theyvoteforyou.org.au/policies/225
Marise Payne,ModeratelyAgainst,Refugee family reunification,https://theyvoteforyou.org.au/policies/165
Marise Payne,ModeratelyAgainst,Requiring a warrant to access citizens  telecommunications records,https://theyvoteforyou.org.au/policies/55
Marise Payne,ModeratelyAgainst,Restricting foreign ownership,https://theyvoteforyou.org.au/policies/19
Marise Payne,ModeratelyAgainst,Stopping tax avoidance or aggressive tax minimisation,https://theyvoteforyou.org.au/policies/92
Marise Payne,ModeratelyAgainst,The Carbon Pollution Reduction Scheme,https://theyvoteforyou.org.au/policies/7
Marise Payne,ModeratelyAgainst,The right to protest,https://theyvoteforyou.org.au/policies/140
Marise Payne,ModeratelyAgainst,The use of strong encryption technologies,https://theyvoteforyou.org.au/policies/97
Marise Payne,ModeratelyAgainst,Tobacco plain packaging,https://theyvoteforyou.org.au/policies/2
Marise Payne,ModeratelyAgainst,Treating government action on climate change as a matter of urgency,https://theyvoteforyou.org.au/policies/79
Marise Payne,ModeratelyAgainst,Universal access to abortion services,https://theyvoteforyou.org.au/policies/176
Marise Payne,StronglyAgainst,A constitutionally enshrined First Nations Voice in parliament,https://theyvoteforyou.org.au/policies/257
Marise Payne,StronglyAgainst,A review of our representatives  eligibility,https://theyvoteforyou.org.au/policies/170
Marise Payne,StronglyAgainst,A Royal Commission into Robodebt,https://theyvoteforyou.org.au/policies/243
Marise Payne,StronglyAgainst,An inquiry into the Iraq War,https://theyvoteforyou.org.au/policies/180
Marise Payne,StronglyAgainst,Assisting the Arts sector through the coronavirus pandemic,https://theyvoteforyou.org.au/policies/236
Marise Payne,StronglyAgainst,Building Australia s new submarine fleet in South Australia,https://theyvoteforyou.org.au/policies/63
Marise Payne,StronglyAgainst,Building dedicated quarantine facilities  COVID 19,https://theyvoteforyou.org.au/policies/263
Marise Payne,StronglyAgainst,Closing the gap between Indigenous and non Indigenous Australians,https://theyvoteforyou.org.au/policies/160
Marise Payne,StronglyAgainst,Expanding Medicare funded dental care,https://theyvoteforyou.org.au/policies/178
Marise Payne,StronglyAgainst,For increasing the Youth Allowance rate,https://theyvoteforyou.org.au/policies/219
Marise Payne,StronglyAgainst,Greater public scrutiny of the Trans Pacific Partnership negotiations,https://theyvoteforyou.org.au/policies/73
Marise Payne,StronglyAgainst,Increasing funding for public schools,https://theyvoteforyou.org.au/policies/241
Marise Payne,StronglyAgainst,Increasing protection of Aboriginal heritage sites,https://theyvoteforyou.org.au/policies/30
Marise Payne,StronglyAgainst,Increasing protection of Australia s fresh water,https://theyvoteforyou.org.au/policies/15
Marise Payne,StronglyAgainst,Increasing the age pension,https://theyvoteforyou.org.au/policies/28
Marise Payne,StronglyAgainst,Increasing the Newstart Allowance rate,https://theyvoteforyou.org.au/policies/179
Marise Payne,StronglyAgainst,Investing in climate science,https://theyvoteforyou.org.au/policies/227
Marise Payne,StronglyAgainst,More scrutiny of the Australian Defence Force,https://theyvoteforyou.org.au/policies/137
Marise Payne,StronglyAgainst,Protecting citizens  privacy,https://theyvoteforyou.org.au/policies/128
Marise Payne,StronglyAgainst,Removing children from immigration detention,https://theyvoteforyou.org.au/policies/60
Marise Payne,StronglyAgainst,Restricting donations to political parties,https://theyvoteforyou.org.au/policies/85
Marise Payne,StronglyAgainst,The Paris Climate Agreement,https://theyvoteforyou.org.au/policies/183
Marise Payne,VeryStronglyAgainst,A carbon price,https://theyvoteforyou.org.au/policies/3
Marise Payne,VeryStronglyAgainst,A federal inquiry into Queensland government administration,https://theyvoteforyou.org.au/policies/50
Marise Payne,VeryStronglyAgainst,A minerals resource rent tax,https://theyvoteforyou.org.au/policies/14
Marise Payne,VeryStronglyAgainst,A national redress scheme for institutional abuse survivors,https://theyvoteforyou.org.au/policies/125
Marise Payne,VeryStronglyAgainst,A Royal Commission into Violence and Abuse against People with Disability,https://theyvoteforyou.org.au/policies/157
Marise Payne,VeryStronglyAgainst,Community right to say no to nuclear waste disposal sites,https://theyvoteforyou.org.au/policies/216
Marise Payne,VeryStronglyAgainst,Decreasing the gender pay gap,https://theyvoteforyou.org.au/policies/72
Marise Payne,VeryStronglyAgainst,Decreasing the private health insurance rebate,https://theyvoteforyou.org.au/policies/26
Marise Payne,VeryStronglyAgainst,Ending illegal logging,https://theyvoteforyou.org.au/policies/93
Marise Payne,VeryStronglyAgainst,Equal treatment for all couples,https://theyvoteforyou.org.au/policies/164
Marise Payne,VeryStronglyAgainst,Extending government benefits to same sex couples,https://theyvoteforyou.org.au/policies/29
Marise Payne,VeryStronglyAgainst,Federal action on public housing,https://theyvoteforyou.org.au/policies/116
Marise Payne,VeryStronglyAgainst,Increasing access under Freedom of Information law,https://theyvoteforyou.org.au/policies/46
Marise Payne,VeryStronglyAgainst,Increasing eligibility requirements for Australian citizenship,https://theyvoteforyou.org.au/policies/184
Marise Payne,VeryStronglyAgainst,Increasing fishing restrictions,https://theyvoteforyou.org.au/policies/41
Marise Payne,VeryStronglyAgainst,Increasing government support for the dairy industry,https://theyvoteforyou.org.au/policies/208
Marise Payne,VeryStronglyAgainst,Increasing housing affordability,https://theyvoteforyou.org.au/policies/117
Marise Payne,VeryStronglyAgainst,Increasing investment in renewable energy,https://theyvoteforyou.org.au/policies/20
Marise Payne,VeryStronglyAgainst,Increasing legal protections for LGBTI people,https://theyvoteforyou.org.au/policies/195
Marise Payne,VeryStronglyAgainst,Increasing penalties for breach of data,https://theyvoteforyou.org.au/policies/188
