Name,Party,Role,Electorate,Rebellion,Attendance
Sam McMahon,Country Liberal Party,Senator for NT,NT,0.0,0.84
Sussan Ley,Liberal Party,Representative for Farrer,Farrer,0.0,0.96
Kristina Keneally,Australian Labor Party,Senator for NSW,NSW,0.0,0.48
Tim Ayres,Australian Labor Party,Senator for NSW,NSW,0.0,0.69
Luke Howarth,Liberal Party,Representative for Petrie,Petrie,0.0,0.79
Anthony Albanese,Australian Labor Party,Representative for Grayndler,Grayndler,0.0,0.9
Ian Goodenough,Liberal Party,Representative for Moore,Moore,0.0,0.79
Josh Frydenberg,Liberal Party,Representative for Kooyong,Kooyong,0.0,0.93
Wendy Askew,Liberal Party,Senator for Tasmania,Tasmania,0.0,0.78
James McGrath,Liberal National Party,Senator for Queensland,Queensland,0.0,0.83
Jordon Steele John,Australian Greens,Senator for WA,WA,0.0008,0.79
Anne Stanley,Australian Labor Party,Representative for Werriwa,Werriwa,0.0,0.97
Milton Dick,Australian Labor Party,Representative for Oxley,Oxley,0.0,0.88
